index,dry_bulb_temperature,dew_point_temperature,relative_humidity,atmospheric_pressure,horizontal_infrared_radiation_intensity_from_sky,direct_normal_radiation,diffuse_horizontal_radiation,wind_direction,wind_speed,present_weather_observation,present_weather_codes,snow_depth,liquid_precipitation_depth
2012-01-01T01:00:00.000000Z,0.8,0.3,96.0,100100.0,290.0,0.0,0.0,140.0,1.0,0.0,999999599.0,0.0,0.0
2012-01-01T02:00:00.000000Z,-0.6,-0.9,97.0,100300.0,283.0,0.0,0.0,0.0,0.0,0.0,999999599.0,0.0,0.0
2012-01-01T03:00:00.000000Z,-1.5,-1.7,98.0,100400.0,279.0,0.0,0.0,80.0,1.0,0.0,999999599.0,0.0,0.0
2012-01-01T04:00:00.000000Z,-1.9,-2.0,99.0,100500.0,277.0,0.0,0.0,0.0,0.0,0.0,999999599.0,0.0,0.0
2012-01-01T05:00:00.000000Z,-2.1,-2.2,100.0,100500.0,276.0,0.0,0.0,200.0,1.0,0.0,999999599.0,0.0,0.0
2012-01-01T06:00:00.000000Z,-2.4,-2.4,100.0,100500.0,274.0,0.0,0.0,280.0,1.0,0.0,999999599.0,0.0,0.0
2012-01-01T07:00:00.000000Z,-1.9,-2.5,95.0,100400.0,276.0,0.0,0.0,320.0,1.0,0.0,999999599.0,0.0,0.0
2012-01-01T08:00:00.000000Z,-2.0,-2.0,100.0,100400.0,276.0,0.0,0.0,20.0,1.0,0.0,999999599.0,0.0,0.0
2012-01-01T09:00:00.000000Z,-2.0,-2.0,100.0,100400.0,276.0,0.0,2.0,0.0,0.0,0.0,999999599.0,0.0,0.0
2012-01-01T10:00:00.000000Z,-1.9,-2.5,95.0,100400.0,276.0,0.0,16.0,0.0,0.0,0.0,999999599.0,0.0,0.0
2012-01-01T11:00:00.000000Z,-2.0,-2.0,100.0,100400.0,276.0,0.0,41.0,0.0,0.0,0.0,999999599.0,0.0,0.0
2012-01-01T12:00:00.000000Z,-1.5,-1.5,100.0,100300.0,279.0,0.0,61.0,0.0,0.5,,,0.0,0.0
